---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260923-123433_p2_c2_r1
-> Loading DistilBERT Model...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260923-123433_p2_c2_r1\bench_WIX_2.csv | node WIX | group grp_20260923-123433_p2_c2_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |  675.2ms | Let’s rideee...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   34.8ms | Ride harder...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   33.3ms | new intro...
[NEWS/LIVE ] | YouTube  | [Normal]     | 90%    |   28.0ms | more like codes...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   45.1ms | :_PeanutJork::_PeanutJork::_PeanutJork:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   59.1ms | Yes rust will do that to you I haven’t p...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   41.3ms | hmmmm.hmmm.hmmmm...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   36.0ms | WE WANT WELYN...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   27.7ms | tab top right...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   46.0ms | peanut how late did you stay up last nig...
[MUSIC/CHIL] | YouTube  | [Normal]     | 89%    |   92.9ms | Aha  now don't say that you do everythin...
[NEWS/LIVE ] | YouTube  | [Normal]     | 80%    |   40.2ms | Pete doesnt care what God you support in...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   64.3ms | suz saaanu peru sam :face_with_tears_of_...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   45.7ms | @TheBurntPeanut The wheel is down by the...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   31.2ms | Lower level...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   56.3ms | Vani busy rhta hu :face_with_hand_over_m...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   42.0ms | halinkan hindi :pouting_cat:...
[MUSIC/CHIL] | YouTube  | [Normal]     | 87%    |  133.9ms | catu sis come on now you take care of yo...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   34.7ms | Alll in...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   35.1ms | hit...
[GAMING/SUR] | YouTube  | [Normal]     | 74%    |   48.5ms | you wouldve lost anyways...
[SELF-HELP/] | YouTube  | [Normal]     | 96%    |   36.2ms | It certainly is a day today...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   33.2ms | haa...
[ENTERTAINM] | YouTube  | [Normal]     | 96%    |   32.9ms | let's start...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   38.1ms | suz ok mari tinnava...
[ENTERTAINM] | YouTube  | [Normal]     | 95%    |   38.0ms | EYYYYY HELLO...
[ENTERTAINM] | YouTube  | [Normal]     | 94%    |   43.1ms | hi...
[ENTERTAINM] | YouTube  | [Normal]     | 93%    |   93.4ms | heyy alreadyy gz gz JIMYY :party_popper:...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   75.9ms | JAMMMM...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 52%    |   74.0ms | oh shit...
[ENTERTAINM] | YouTube  | [Normal]     | 95%    |   33.0ms | yooo...
[GAMING/GAM] | YouTube  | [Normal]     | 96%    |   31.6ms | hi!...
[GAMING/GAM] | YouTube  | [Normal]     | 97%    |   33.7ms | Welcome New Member!...
[ENTERTAINM] | YouTube  | [Normal]     | 94%    |   30.8ms | hi...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   29.3ms | Hello everybody...
[GAMING/GAM] | YouTube  | [Normal]     | 97%    |   29.0ms | HIIIII...
[PSYCHOLOGY] | YouTube  | [Normal]     | 95%    |   29.3ms | bajs...
