---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260923-123433_p2_c2_r1
-> Loading DistilBERT Model...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260923-123433_p2_c2_r1\bench_WIX_1.csv | node WIX | group grp_20260923-123433_p2_c2_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |  654.3ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 61%    |   44.8ms | lets goooooooooo chat!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   68.2ms | EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEE...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   31.4ms | THE KING HAS RETURNED...
[PSYCHOLOGY] | YouTube  | [Normal]     | 88%    |   27.7ms | Woo...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   38.9ms | whats wrong with your eye...
[MUSIC/CHIL] | YouTube  | [Normal]     | 94%    |   32.4ms | hi...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   38.0ms | Shut the door!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   40.9ms | H20 and Kyle have been getting fed all d...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   36.1ms | Need to work on research tree...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   41.3ms | what so :briefs::duck:...
[GAMING/SUR] | YouTube  | [Normal]     | 87%    |   43.2ms | omg hes addicted! I love it!...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   32.3ms | :_DrKAOEBonk:...
[GAMING/SUR] | YouTube  | [Normal]     | 76%    |   34.7ms | These naked bodies crack me up...
[PSYCHOLOGY] | YouTube  | [Normal]     | 75%    |   63.8ms | low-key i think dr. k is helping a whole...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   33.7ms | Vani kaise :thinking_face:...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   48.4ms | :face-green-smiling::face-green-smiling:...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   50.6ms | Never thought I’d see H2O Delirious and ...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   31.0ms | lol...
[GAMING/SUR] | YouTube  | [Normal]     | 84%    |   36.7ms | gonna lose...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   36.7ms | lmfao...
[GAMING/SUR] | YouTube  | [HATE]       | 42%    |   35.8ms | the machine is cheating...
[SELF-HELP/] | YouTube  | [Normal]     | 83%    |   39.2ms | you do have some jedi mind tricks...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |   54.1ms | SPENCER PRATT THIS WILL HELP YOU. KAREN ...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   40.0ms | nah just gamble it all away...
[NEWS/LIVE ] | YouTube  | [Normal]     | 88%    |   33.2ms | It was a joke really...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   36.0ms | thaTS MIND FROM DIUNOS...
[GAMING/GAM] | YouTube  | [Normal]     | 95%    |   30.8ms | MARK...
[GAMING/GAM] | YouTube  | [Normal]     | 95%    |   53.5ms | HIIIIIII MARLKKKKKK...
[PSYCHOLOGY] | YouTube  | [Normal]     | 95%    |   52.7ms | a faaah moment from dr K...
[GAMING/GAM] | YouTube  | [Normal]     | 94%    |   68.0ms | SEEING IT AGAIN SATURDAY...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   84.2ms | :card-red-penalty:...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |   51.1ms | I can't disagree with irresponsible:cat-...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   43.9ms | @Sharktooth17 brother this is the origin...
[ENTERTAINM] | YouTube  | [Normal]     | 86%    |   29.0ms | Yo...
[ENTERTAINM] | YouTube  | [Normal]     | 96%    |   47.0ms | I think y'all do it....but I've been sub...
[GAMING/GAM] | YouTube  | [Normal]     | 96%    |   30.2ms | hi mark!!!...
[MUSIC/CHIL] | YouTube  | [OFFENSIVE]  | 51%    |   30.6ms | sick:woozy_face:...
[GAMING/GAM] | YouTube  | [Normal]     | 48%    |   28.5ms | Da goat....
[GAMING/GAM] | YouTube  | [Normal]     | 95%    |   25.0ms | HIIII...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   43.2ms | shish Singh me badhiya hu tum batao...
[GAMING/GAM] | YouTube  | [Normal]     | 96%    |   35.2ms | 3 TIME CHAMPION!!!...
[PSYCHOLOGY] | YouTube  | [Normal]     | 96%    |   35.2ms | Dr. K rocking linux? :O...
[GAMING/GAM] | YouTube  | [Normal]     | 97%    |   33.6ms | Welcome New Member!...
[GAMING/GAM] | YouTube  | [Normal]     | 97%    |   37.7ms | love the movie  was amazing...
