---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-135404_p4_c4_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-135404_p4_c4_r1\bench_WIX_4.csv | node WIX | group grp_20260925-135404_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |  640.3ms | Let’s rideee...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   51.2ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |  100.6ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   64.4ms | finally playing a top game that has been...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   49.3ms | Hey...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   39.3ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   75.9ms | :_PeanutJork::_PeanutJork::_PeanutJork:...
[GAMING/SUR] | YouTube  | [Normal]     | 56%    |   66.4ms | ILl ALLoW IT...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   57.9ms | late sam...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |  102.9ms | hi:_PeanutFire::_PeanutFire:an chat does...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   74.2ms | CREAM OF SUM YOUNG GUY...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   76.3ms | hi...
[GAMING/SUR] | YouTube  | [Normal]     | 52%    |   79.7ms | GOOP GOOP GOOP...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   52.8ms | he closed it...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   61.8ms | Shut the door!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   43.7ms | WE WANT WELYN...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   44.0ms | That’s everyone’s childhood...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   52.9ms | peanut how late did you stay up last nig...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   89.6ms | Golfing in the rain in FL rn :saluting_f...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   57.6ms | what so :briefs::duck:...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   45.2ms | @TheBurntPeanut The wheel is down by the...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   41.6ms | HUTCHS WEINER IS OUT...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   35.8ms | do 3...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   54.7ms | lmfao it's delirious wtf...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   63.8ms | WERE WINNING BIG THIS TIME...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   56.5ms | h20 ??...
[MUSIC/CHIL] | YouTube  | [Normal]     | 93%    |   69.7ms | shikha basically i don't eat   certainly...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   42.2ms | 1/3 have more spaces...
