---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-122758_p1_c1_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-122758_p1_c1_r1\bench_WIX_1.csv | node WIX | group grp_20260925-122758_p1_c1_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |  798.4ms | Let’s rideee...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   36.1ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   28.9ms | Ride harder...
[GAMING/SUR] | YouTube  | [Normal]     | 61%    |   39.5ms | lets goooooooooo chat!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   62.1ms | EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEE...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   27.1ms | new intro...
[NEWS/LIVE ] | YouTube  | [Normal]     | 90%    |   28.3ms | more like codes...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   30.0ms | THE KING HAS RETURNED...
[PSYCHOLOGY] | YouTube  | [Normal]     | 88%    |   34.7ms | Woo...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   31.6ms | whats wrong with your eye...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   43.3ms | :_PeanutJork::_PeanutJork::_PeanutJork:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   59.7ms | Yes rust will do that to you I haven’t p...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   41.5ms | hmmmm.hmmm.hmmmm...
[MUSIC/CHIL] | YouTube  | [Normal]     | 94%    |   30.5ms | hi...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   30.0ms | Shut the door!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   28.6ms | WE WANT WELYN...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   35.8ms | H20 and Kyle have been getting fed all d...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   34.7ms | tab top right...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   42.1ms | peanut how late did you stay up last nig...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   34.9ms | Need to work on research tree...
[MUSIC/CHIL] | YouTube  | [Normal]     | 89%    |   84.8ms | Aha  now don't say that you do everythin...
[NEWS/LIVE ] | YouTube  | [Normal]     | 80%    |   44.2ms | Pete doesnt care what God you support in...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   33.3ms | what so :briefs::duck:...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   56.5ms | suz saaanu peru sam :face_with_tears_of_...
[GAMING/SUR] | YouTube  | [Normal]     | 87%    |   35.3ms | omg hes addicted! I love it!...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   34.6ms | :_DrKAOEBonk:...
