---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-151752_p4_c4_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-151752_p4_c4_r1\bench_WIX_2.csv | node WIX | group grp_20260925-151752_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 54%    |  837.9ms | Hellyeah...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   72.1ms | eeeeeeeeeeeeeeeeeeeeeeeeeeeee...
[NEWS/LIVE ] | YouTube  | [Normal]     | 90%    |   62.4ms | more like codes...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 73%    |   75.7ms | thank fuck he's on  hutch is boring af...
[MUSIC/CHIL] | YouTube  | [Normal]     | 90%    |   89.7ms | Suz tell your halikan to stop overfeedin...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   55.2ms | GINGY DID 20 HOURS...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   62.4ms | Rouge put in massive work...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   52.3ms | LOL...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   55.2ms | h2o coool...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   62.9ms | he is a fucking legend...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   53.4ms | YOUR GATE IS OPEN THERE BUD...
[GAMING/SUR] | YouTube  | [Normal]     | 81%    |   55.7ms | h20 my kinggg...
[MUSIC/CHIL] | YouTube  | [Normal]     | 98%    |  113.1ms | Manoj unko sambhalega kon tum:face_with_...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   69.9ms | Need to work on research tree...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   81.0ms | Hutch and gingy got a air strike...
[GAMING/SUR] | YouTube  | [Normal]     | 76%    |   83.9ms | dont do o...
[GAMING/SUR] | YouTube  | [Normal]     | 87%    |   72.9ms | omg hes addicted! I love it!...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   62.0ms | :_DrKAOEBonk:...
[GAMING/SUR] | YouTube  | [Normal]     | 85%    |   52.8ms | KEEP GOING DOWN...
[NEWS/LIVE ] | YouTube  | [Normal]     | 49%    |   68.2ms | that's a yes to feminist:face-green-smil...
