seq,partition,offset,kafka_ts_ms,t_call_ms
1,3,0,1790342297479,1790342297479.742
3,3,1,1790342297480,1790342297480.753
0,0,0,1790342297479,1790342297355.884
2,0,1,1790342297480,1790342297480.753
4,1,0,1790342297497,1790342297497.969
5,2,0,1790342297540,1790342297540.684
6,2,1,1790342297581,1790342297576.231
7,3,2,1790342297608,1790342297607.752
8,3,3,1790342297638,1790342297638.321
9,3,4,1790342297669,1790342297669.967
10,2,2,1790342297700,1790342297700.977
11,0,2,1790342297749,1790342297749.014
12,2,3,1790342297780,1790342297780.69
13,3,5,1790342297812,1790342297812.691
14,3,6,1790342297843,1790342297843.835
15,2,4,1790342297874,1790342297874.548
16,1,1,1790342297921,1790342297921.931
17,0,3,1790342297953,1790342297953.708
18,0,4,1790342297985,1790342297985.704
19,3,7,1790342298015,1790342298015.708
20,2,5,1790342298047,1790342298047.49
21,0,5,1790342298094,1790342298094.72
22,3,8,1790342298126,1790342298126.022
23,0,6,1790342298156,1790342298156.867
24,1,2,1790342298187,1790342298187.871
25,1,3,1790342298219,1790342298219.072
26,0,7,1790342298266,1790342298266.304
27,0,8,1790342298297,1790342298297.024
28,3,9,1790342298329,1790342298329.032
29,1,4,1790342298360,1790342298360.537
30,3,10,1790342298392,1790342298392.542
31,3,11,1790342298424,1790342298424.545
32,3,12,1790342298471,1790342298471.656
33,3,13,1790342298503,1790342298503.006
34,2,6,1790342298533,1790342298533.526
35,3,14,1790342298563,1790342298563.858
36,2,7,1790342298611,1790342298611.384
37,2,8,1790342298641,1790342298641.973
38,0,9,1790342298674,1790342298674.613
39,3,15,1790342298706,1790342298706.021
40,1,5,1790342298736,1790342298736.823
41,0,10,1790342298783,1790342298783.002
42,0,11,1790342298814,1790342298814.722
43,2,9,1790342298846,1790342298846.422
44,3,16,1790342298878,1790342298878.07
45,0,12,1790342298909,1790342298909.136
46,1,6,1790342298957,1790342298957.0
47,2,10,1790342298988,1790342298988.268
48,0,13,1790342299020,1790342299020.304
49,0,14,1790342299051,1790342299051.392
50,3,17,1790342299082,1790342299082.081
51,0,15,1790342299129,1790342299129.312
52,2,11,1790342299160,1790342299160.647
53,3,18,1790342299192,1790342299192.663
54,2,12,1790342299224,1790342299224.211
55,2,13,1790342299256,1790342299256.306
56,2,14,1790342299302,1790342299302.245
57,1,7,1790342299333,1790342299333.962
58,2,15,1790342299364,1790342299364.623
59,1,8,1790342299395,1790342299395.106
60,3,19,1790342299425,1790342299425.148
61,2,16,1790342299472,1790342299472.773
62,0,16,1790342299503,1790342299503.604
63,0,17,1790342299535,1790342299535.127
64,3,20,1790342299567,1790342299567.141
65,1,9,1790342299598,1790342299598.763
66,3,21,1790342299646,1790342299646.452
67,0,18,1790342299679,1790342299678.813
68,0,19,1790342299709,1790342299709.753
69,0,20,1790342299740,1790342299740.964
70,3,22,1790342299772,1790342299772.005
71,3,23,1790342299818,1790342299818.697
72,2,17,1790342299850,1790342299850.073
73,1,10,1790342299881,1790342299881.71
74,2,18,1790342299912,1790342299912.954
75,1,11,1790342299945,1790342299945.029
76,0,21,1790342299976,1790342299976.617
77,1,12,1790342300022,1790342300022.934
78,1,13,1790342300054,1790342300054.387
79,3,24,1790342300085,1790342300085.495
80,3,25,1790342300116,1790342300116.416
81,1,14,1790342300162,1790342300162.759
82,0,22,1790342300193,1790342300193.985
83,2,19,1790342300225,1790342300225.29
84,1,15,1790342300256,1790342300256.059
85,0,23,1790342300288,1790342300287.873
86,0,24,1790342300334,1790342300334.411
87,3,26,1790342300365,1790342300365.778
88,3,27,1790342300397,1790342300397.445
89,0,25,1790342300429,1790342300429.063
90,3,28,1790342300460,1790342300460.992
91,0,26,1790342300507,1790342300507.89
92,3,29,1790342300539,1790342300538.814
93,0,27,1790342300571,1790342300570.156
94,0,28,1790342300601,1790342300601.606
95,0,29,1790342300633,1790342300633.929
96,3,30,1790342300680,1790342300679.568
