---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-151752_p4_c4_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-151752_p4_c4_r1\bench_WIX_4.csv | node WIX | group grp_20260925-151752_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |  823.8ms | Let’s rideee...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   56.2ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |  115.0ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   67.1ms | finally playing a top game that has been...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   57.8ms | Hey...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   58.2ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   81.5ms | :_PeanutJork::_PeanutJork::_PeanutJork:...
[GAMING/SUR] | YouTube  | [Normal]     | 56%    |   48.7ms | ILl ALLoW IT...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   53.7ms | late sam...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   91.9ms | hi:_PeanutFire::_PeanutFire:an chat does...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   59.1ms | CREAM OF SUM YOUNG GUY...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   55.0ms | hi...
[GAMING/SUR] | YouTube  | [Normal]     | 52%    |   74.8ms | GOOP GOOP GOOP...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   63.3ms | he closed it...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   75.2ms | Shut the door!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   68.1ms | WE WANT WELYN...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   69.1ms | That’s everyone’s childhood...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   66.9ms | peanut how late did you stay up last nig...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   81.4ms | Golfing in the rain in FL rn :saluting_f...
