---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-130525_p1_c1_cuda_r3
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cuda...
-> GPU: NVIDIA GeForce GTX 1650 with Max-Q Design
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-130525_p1_c1_cuda_r3\bench_WIX_1.csv | node WIX | group grp_20260925-130525_p1_c1_cuda_r3
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  198.7ms | just to get rich...
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |   18.5ms | I mistyped because I have BIG hands lol...
[PSYCHOLOGY] | YouTube  | [Normal]     | 94%    |   10.5ms | Hola...
[SELF-HELP/] | YouTube  | [Normal]     | 97%    |    9.6ms | I'm on a plane...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    7.0ms | FIRST...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 54%    |    7.0ms | Hellyeah...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |    8.0ms | Let’s rideee...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |    8.0ms | so the best thing is the worst? hmm:cat-...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |    8.0ms | Yo...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |    7.0ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |    8.1ms | Bangaaaaaaa Bungus Bussss :bus:...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 68%    |    9.4ms | :collision::collision:LETSSSS RIDEEEEE1:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |    9.6ms | sing please...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    9.7ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |    9.0ms | why are you all so early?...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |    8.0ms | The grind is real...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |    8.0ms | Peanut Plays RUST. LETS GO!...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |    8.3ms | finally playing a top game that has been...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |    7.0ms | Ride harder...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   14.9ms | shivu apun k papa mujko wada ki h shivu ...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   11.1ms | Annayyaa nen miss ayina nin ekkuvaa:loud...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |    7.0ms | Hey...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   15.0ms | :elbowcough::elbowcough::elbowcough::elb...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |    7.0ms | ok this peanut has a lil season to him b...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   10.5ms | eeeeeeeeeeeeeeeeeeeeeeeeeeeee...
[GAMING/SUR] | YouTube  | [Normal]     | 61%    |    8.0ms | lets goooooooooo chat!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |    7.6ms | NICE BROS !...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    8.5ms | Happy birthday peanut...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |    7.6ms | domestic flight ye...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    9.0ms | EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEE...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    6.6ms | Happy birthday peanut...
