---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260923-235829_p4_c4_r2
-> Loading DistilBERT Model...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260923-235829_p4_c4_r2\bench_WIX_1.csv | node WIX | group grp_20260923-235829_p4_c4_r2
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |  160.7ms | FIRST...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   74.3ms | Peanut Plays RUST. LETS GO!...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   71.8ms | eeeeeeeeeeeeeeeeeeeeeeeeeeeee...
[GAMING/SUR] | YouTube  | [Normal]     | 61%    |   70.5ms | lets goooooooooo chat!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   88.2ms | EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEE...
[NEWS/LIVE ] | YouTube  | [Normal]     | 90%    |   58.4ms | more like codes...
[MUSIC/CHIL] | YouTube  | [Normal]     | 90%    |   80.4ms | Suz tell your halikan to stop overfeedin...
[GAMING/SUR] | YouTube  | [Normal]     | 58%    |   81.1ms | did you ask hutch bout his ass tattoo...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   84.9ms | :face-blue-wide-eyes::face-blue-wide-eye...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   44.1ms | Diarrhea live on the stream...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   73.9ms | hi:_PeanutFire::_PeanutFire:an chat does...
[GAMING/SUR] | YouTube  | [Normal]     | 87%    |   60.3ms | Gingys built different...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 82%    |   66.1ms | Hol up...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   37.1ms | Rouge put in massive work...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 79%    |   68.7ms | :_LetsGo::_LetsGo::_LetsGo::_LetsGo::_Le...
[MUSIC/CHIL] | YouTube  | [Normal]     | 98%    |   50.7ms | Manoj haan:smiling_face_with_tear:...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   57.3ms | Shut the door!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   43.0ms | WE WANT WELYN...
[GAMING/SUR] | YouTube  | [HATE]       | 64%    |   52.6ms | HES THE GOAT!!!!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   50.1ms | H20 is a YT O.G....
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   38.2ms | lol...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   41.0ms | hit TAB...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   57.2ms | BRUH THAT DOORFRAME BEEN TWIG FOR 24HRS...
