---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260923-234455_p2_c2_r3
-> Loading DistilBERT Model...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260923-234455_p2_c2_r3\bench_WIX_1.csv | node WIX | group grp_20260923-234455_p2_c2_r3
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  733.1ms | I mistyped because I have BIG hands lol...
[SELF-HELP/] | YouTube  | [Normal]     | 97%    |   41.7ms | I'm on a plane...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   35.7ms | FIRST...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |   48.4ms | so the best thing is the worst? hmm:cat-...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |   33.4ms | Yo...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   46.9ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |  115.6ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   72.0ms | why are you all so early?...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   70.3ms | Peanut Plays RUST. LETS GO!...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   68.9ms | shivu apun k papa mujko wada ki h shivu ...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |  160.2ms | :elbowcough::elbowcough::elbowcough::elb...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   41.0ms | eeeeeeeeeeeeeeeeeeeeeeeeeeeee...
[GAMING/SUR] | YouTube  | [Normal]     | 61%    |   34.0ms | lets goooooooooo chat!!!...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   27.3ms | domestic flight ye...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   65.9ms | EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEE...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   33.7ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [HATE]       | 52%    |   95.4ms | PEANUTS STREAMINGGGGGG:face-fuchsia-tong...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   33.0ms | Happy birthday Peanut!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   58.8ms | :ok_hand::ok_hand::ok_hand::thumbs_up::t...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   51.8ms | :peanuts::peanuts::peanuts::peanuts::pea...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   32.1ms | Great song...
[NEWS/LIVE ] | YouTube  | [Normal]     | 90%    |   33.6ms | more like codes...
[PSYCHOLOGY] | YouTube  | [Normal]     | 88%    |   33.1ms | Woo...
[MUSIC/CHIL] | YouTube  | [Normal]     | 90%    |   55.8ms | Suz tell your halikan to stop overfeedin...
[MUSIC/CHIL] | YouTube  | [Normal]     | 98%    |   68.3ms | muje tu bhi kabhi kabhi lgta pgl ashiqq ...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   46.6ms | :crown::crown: LONG LIVE THE KING PEANUT...
[GAMING/SUR] | YouTube  | [Normal]     | 58%    |   43.1ms | did you ask hutch bout his ass tattoo...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   67.6ms | :face-blue-wide-eyes::face-blue-wide-eye...
[GAMING/SUR] | YouTube  | [Normal]     | 56%    |   29.5ms | ILl ALLoW IT...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   35.2ms | Happy birthday Peanut!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   39.3ms | Diarrhea live on the stream...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   36.5ms | Gingy and Rouge did 20 Hours...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   32.7ms | 19 hours...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   55.3ms | got off an hr before u got on...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   63.2ms | hi:_PeanutFire::_PeanutFire:an chat does...
[GAMING/SUR] | YouTube  | [Normal]     | 87%    |   39.2ms | Gingys built different...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 82%    |   40.7ms | Hol up...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   55.1ms | Rouge put in massive work...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   46.3ms | CREAM OF SUM YOUNG GUY...
[NEWS/LIVE ] | YouTube  | [Normal]     | 43%    |   58.4ms | Ok how about the poor dig a hole or make...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 79%    |   74.6ms | :_LetsGo::_LetsGo::_LetsGo::_LetsGo::_Le...
[MUSIC/CHIL] | YouTube  | [Normal]     | 98%    |   50.8ms | Manoj haan:smiling_face_with_tear:...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   49.2ms | Ayeee :smiling_face_with_sunglasses:...
