---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260923-234455_p2_c2_r3
-> Loading DistilBERT Model...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260923-234455_p2_c2_r3\bench_WIX_2.csv | node WIX | group grp_20260923-234455_p2_c2_r3
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  741.6ms | just to get rich...
[PSYCHOLOGY] | YouTube  | [Normal]     | 94%    |   35.4ms | Hola...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 54%    |   38.2ms | Hellyeah...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   39.2ms | Let’s rideee...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   48.7ms | Bangaaaaaaa Bungus Bussss :bus:...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 68%    |   60.4ms | :collision::collision:LETSSSS RIDEEEEE1:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   50.6ms | sing please...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   44.2ms | The grind is real...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   85.8ms | finally playing a top game that has been...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   56.6ms | Ride harder...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   59.2ms | Annayyaa nen miss ayina nin ekkuvaa:loud...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   30.4ms | Hey...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   49.6ms | ok this peanut has a lil season to him b...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   29.2ms | NICE BROS !...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   28.1ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   26.2ms | new intro...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   25.0ms | JOHNNY...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   32.3ms | EEEEE...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   47.7ms | Bro was up until sunrise :face_with_tear...
