---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260924-000332_p4_c4_r3
-> Loading DistilBERT Model...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260924-000332_p4_c4_r3\bench_WIX_1.csv | node WIX | group grp_20260924-000332_p4_c4_r3
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 54%    |  126.9ms | Hellyeah...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   56.8ms | Let’s rideee...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   78.2ms | Bangaaaaaaa Bungus Bussss :bus:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   67.0ms | sing please...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   70.6ms | The grind is real...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   68.8ms | Annayyaa nen miss ayina nin ekkuvaa:loud...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   33.7ms | new intro...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   36.3ms | JOHNNY...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   52.2ms | EEEEE...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 57%    |   58.6ms | SHESSSSHHHH LETS GOOO EARLY AS HELL...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   44.3ms | good to see ya P...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |   38.2ms | bungus...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   45.0ms | hahaha...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   62.2ms | :_PeanutJork::_PeanutJork::_PeanutJork:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   98.1ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   77.2ms | tu sach mei sanki to nhi ho gyaa:face_wi...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   76.1ms | late sam...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   37.8ms | HUTCH HAS MADE OFF WITH 1000 SCRAP...
[PSYCHOLOGY] | YouTube  | [Normal]     | 97%    |   53.7ms | wait did stream rest a little?...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   66.0ms | G ey area lo park chesav ?:baseball-whit...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   46.1ms | h2o coool...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   51.6ms | H20 and Kyle have been getting fed all d...
[GAMING/SUR] | YouTube  | [Normal]     | 88%    |   48.8ms | rogue tries too hard...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   46.7ms | Watch the zone...
