---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-124022_p1_c1_cuda_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cuda...
-> GPU: NVIDIA GeForce GTX 1650 with Max-Q Design
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-124022_p1_c1_cuda_r1\bench_WIX_1.csv | node WIX | group grp_20260925-124022_p1_c1_cuda_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  451.9ms | just to get rich...
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |   27.2ms | I mistyped because I have BIG hands lol...
[PSYCHOLOGY] | YouTube  | [Normal]     | 94%    |    9.2ms | Hola...
[SELF-HELP/] | YouTube  | [Normal]     | 97%    |    7.0ms | I'm on a plane...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    7.5ms | FIRST...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 54%    |    8.0ms | Hellyeah...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |    8.8ms | Let’s rideee...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |   11.0ms | so the best thing is the worst? hmm:cat-...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |    7.4ms | Yo...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |    7.0ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |    8.0ms | Bangaaaaaaa Bungus Bussss :bus:...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 68%    |   11.0ms | :collision::collision:LETSSSS RIDEEEEE1:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |    7.0ms | sing please...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    9.4ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |    9.1ms | why are you all so early?...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |    6.4ms | The grind is real...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |    8.0ms | Peanut Plays RUST. LETS GO!...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   12.3ms | finally playing a top game that has been...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |    7.0ms | Ride harder...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |    9.7ms | shivu apun k papa mujko wada ki h shivu ...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   11.4ms | Annayyaa nen miss ayina nin ekkuvaa:loud...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |    8.3ms | Hey...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   14.0ms | :elbowcough::elbowcough::elbowcough::elb...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |    8.1ms | ok this peanut has a lil season to him b...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |    8.1ms | eeeeeeeeeeeeeeeeeeeeeeeeeeeee...
[GAMING/SUR] | YouTube  | [Normal]     | 61%    |    7.6ms | lets goooooooooo chat!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |    7.0ms | NICE BROS !...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    7.6ms | Happy birthday peanut...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |    8.0ms | domestic flight ye...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    7.6ms | EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEE...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    7.0ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [HATE]       | 52%    |    9.2ms | PEANUTS STREAMINGGGGGG:face-fuchsia-tong...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   10.1ms | Happy birthday Peanut!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |    8.0ms | :ok_hand::ok_hand::ok_hand::thumbs_up::t...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    7.0ms | new intro...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |    8.0ms | :peanuts::peanuts::peanuts::peanuts::pea...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |    8.5ms | JOHNNY...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   21.0ms | EEEEE...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   21.5ms | Bro was up until sunrise :face_with_tear...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   19.5ms | Great song...
[NEWS/LIVE ] | YouTube  | [Normal]     | 90%    |   22.2ms | more like codes...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 73%    |   21.2ms | thank fuck he's on  hutch is boring af...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   20.9ms | THE KING HAS RETURNED...
