timestamp,source_platform,env_domain,env_subgenre,thread_id,text,model_label,model_confidence,latency_ms
2026-09-25 12:40:41,YouTube,News,Live news,7F8J_XE3zzU,just to get rich,Normal,0.9501,451.88
2026-09-25 12:40:41,YouTube,News,Live news,7F8J_XE3zzU,I mistyped because I have BIG hands lol,Normal,0.9452,27.17
2026-09-25 12:40:41,YouTube,Psychology,Personality theory,Dt2pH5HBsIU,Hola,Normal,0.9403,9.17
2026-09-25 12:40:41,YouTube,Self-Help,Motivational talk,IYGas8wJAuI,I'm on a plane,Normal,0.9685,7.04
2026-09-25 12:40:41,YouTube,Gaming,Survival,f_F-evhr-Z0,FIRST,Normal,0.9588,7.51
2026-09-25 12:40:41,YouTube,Gaming,Survival,f_F-evhr-Z0,Hellyeah,OFFENSIVE,0.5445,7.98
2026-09-25 12:40:41,YouTube,Gaming,Survival,f_F-evhr-Z0,Let’s rideee,Normal,0.9157,8.77
2026-09-25 12:40:41,YouTube,News,Live news,7F8J_XE3zzU,so the best thing is the worst? hmm:cat-orange-whistling:,Normal,0.9439,11.00
2026-09-25 12:40:41,YouTube,Gaming,Survival,f_F-evhr-Z0,Yo,Normal,0.8636,7.38
2026-09-25 12:40:41,YouTube,Gaming,Survival,f_F-evhr-Z0,LETS GO!!!,Normal,0.9297,6.97
2026-09-25 12:40:41,YouTube,Gaming,Survival,f_F-evhr-Z0,Bangaaaaaaa Bungus Bussss :bus:,Normal,0.8199,8.00
2026-09-25 12:40:41,YouTube,Gaming,Survival,f_F-evhr-Z0,:collision::collision:LETSSSS RIDEEEEE1:collision::collision:,OFFENSIVE,0.6827,11.01
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,sing please,Normal,0.9532,7.00
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,:thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up:,Normal,0.9557,9.36
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,why are you all so early?,Normal,0.9029,9.13
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,The grind is real,Normal,0.7288,6.40
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,Peanut Plays RUST. LETS GO!,Normal,0.9747,7.96
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,finally playing a top game that has been top tier since release,Normal,0.9669,12.29
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,Ride harder,Normal,0.9406,7.00
2026-09-25 12:40:42,YouTube,Music,Chill house,36YnV9STBqc,shivu apun k papa mujko wada ki h shivu s shadi hojayega :smiling_face_with_tear:,Normal,0.9675,9.68
2026-09-25 12:40:42,YouTube,Music,Chill house,36YnV9STBqc,Annayyaa nen miss ayina nin ekkuvaa:loudly_crying_face:,Normal,0.9603,11.37
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,Hey,Normal,0.9126,8.26
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,:elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:,Normal,0.9286,14.01
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,ok this peanut has a lil season to him bumbin OT,Normal,0.9264,8.13
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,eeeeeeeeeeeeeeeeeeeeeeeeeeeee,Normal,0.9411,8.09
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,lets goooooooooo chat!!!,Normal,0.6054,7.64
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,NICE BROS !,Normal,0.8983,7.00
2026-09-25 12:40:42,YouTube,Gaming,Survival,f_F-evhr-Z0,Happy birthday peanut,Normal,0.9605,7.55
2026-09-25 12:40:43,YouTube,Self-Help,Motivational talk,IYGas8wJAuI,domestic flight ye,Normal,0.9447,8.00
2026-09-25 12:40:43,YouTube,Gaming,Survival,f_F-evhr-Z0,EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE,Normal,0.9553,7.59
2026-09-25 12:40:43,YouTube,Gaming,Survival,f_F-evhr-Z0,Happy birthday peanut,Normal,0.9605,7.00
2026-09-25 12:40:43,YouTube,Gaming,Survival,f_F-evhr-Z0,PEANUTS STREAMINGGGGGG:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,HATE,0.5241,9.19
2026-09-25 12:40:43,YouTube,Gaming,Survival,f_F-evhr-Z0,Happy birthday Peanut!!!!,Normal,0.9683,10.06
2026-09-25 12:40:43,YouTube,Gaming,Survival,f_F-evhr-Z0,:ok_hand::ok_hand::ok_hand::thumbs_up::thumbs_up::thumbs_up:,Normal,0.9351,7.99
2026-09-25 12:40:43,YouTube,Gaming,Survival,f_F-evhr-Z0,new intro,Normal,0.9605,6.97
2026-09-25 12:40:43,YouTube,Gaming,Survival,f_F-evhr-Z0,:peanuts::peanuts::peanuts::peanuts::peanuts::peanuts::peanuts::peanuts:,Normal,0.9791,7.97
