---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-145555_p4_c4_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-145555_p4_c4_r1\bench_WIX_2.csv | node WIX | group grp_20260925-145555_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 54%    |  612.6ms | Hellyeah...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   45.8ms | Let’s rideee...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   80.4ms | Bangaaaaaaa Bungus Bussss :bus:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   55.2ms | sing please...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   45.0ms | The grind is real...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   65.8ms | Annayyaa nen miss ayina nin ekkuvaa:loud...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   36.0ms | new intro...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   34.1ms | JOHNNY...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   40.0ms | EEEEE...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 57%    |   91.7ms | SHESSSSHHHH LETS GOOO EARLY AS HELL...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   59.1ms | good to see ya P...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |   49.9ms | bungus...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   52.9ms | hahaha...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   85.2ms | :_PeanutJork::_PeanutJork::_PeanutJork:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   75.3ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   60.9ms | tu sach mei sanki to nhi ho gyaa:face_wi...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   45.0ms | late sam...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   46.1ms | HUTCH HAS MADE OFF WITH 1000 SCRAP...
[PSYCHOLOGY] | YouTube  | [Normal]     | 97%    |   38.5ms | wait did stream rest a little?...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   55.3ms | G ey area lo park chesav ?:baseball-whit...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   50.2ms | h2o coool...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   37.0ms | H20 and Kyle have been getting fed all d...
[GAMING/SUR] | YouTube  | [Normal]     | 88%    |   29.2ms | rogue tries too hard...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   26.7ms | Watch the zone...
[PSYCHOLOGY] | YouTube  | [Normal]     | 91%    |   29.1ms | must have been the wind...
