---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-145555_p4_c4_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-145555_p4_c4_r1\bench_WIX_4.csv | node WIX | group grp_20260925-145555_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  603.0ms | just to get rich...
[PSYCHOLOGY] | YouTube  | [Normal]     | 94%    |   43.8ms | Hola...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 68%    |   71.4ms | :collision::collision:LETSSSS RIDEEEEE1:...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   73.8ms | finally playing a top game that has been...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   41.5ms | Ride harder...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   46.2ms | Hey...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   52.0ms | ok this peanut has a lil season to him b...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   30.7ms | NICE BROS !...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   40.6ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   99.3ms | Bro was up until sunrise :face_with_tear...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 73%    |   71.5ms | thank fuck he's on  hutch is boring af...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   53.0ms | THE KING HAS RETURNED...
[GAMING/SUR] | YouTube  | [Normal]     | 66%    |   68.5ms | LETS GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   60.7ms | no  no. how are YOUUUU peanut...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   33.3ms | let's ride...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   29.2ms | whats wrong with your eye...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   43.9ms | We are so fkn back...
[GAMING/SUR] | YouTube  | [Normal]     | 74%    |   49.3ms | He and Gingy and Rogue have been grindin...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   42.7ms | .......
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   65.7ms | About to go lose all y’all’s money at th...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   42.3ms | GINGY DID 20 HOURS...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   53.5ms | Suz :rolling_on_the_floor_laughing::roll...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   49.7ms | Yes rust will do that to you I haven’t p...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   35.6ms | hmmmm.hmmm.hmmmm...
[PSYCHOLOGY] | YouTube  | [Normal]     | 84%    |   33.2ms | jungian punch...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   30.2ms | hi...
[GAMING/SUR] | YouTube  | [Normal]     | 52%    |   40.5ms | GOOP GOOP GOOP...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   69.7ms | Oh my god he's already on :rolling_on_th...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   32.4ms | H20 :red_heart:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   40.2ms | h2o...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   35.0ms | LOL...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   36.5ms | That’s everyone’s childhood...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   35.1ms | Vanoss crew og member...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   29.3ms | tab top right...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   35.2ms | YOUR GATE IS OPEN THERE BUD...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   48.2ms | Golfing in the rain in FL rn :saluting_f...
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |   33.3ms | MAGA...
[NEWS/LIVE ] | YouTube  | [Normal]     | 92%    |   48.1ms | I only help American Citizens :star_stru...
[GAMING/SUR] | YouTube  | [Normal]     | 81%    |   26.6ms | WALL GATE...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   29.6ms | Need to work on research tree...
[MUSIC/CHIL] | YouTube  | [Normal]     | 93%    |   28.6ms | :camel:...
[NEWS/LIVE ] | YouTube  | [Normal]     | 97%    |   27.9ms | DESANTIS 2028...
[MUSIC/CHIL] | YouTube  | [Normal]     | 93%    |   37.6ms | fred me ? :thinking_face:...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   33.0ms | Hutch and gingy got a air strike...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   51.2ms | suz saaanu peru sam :face_with_tears_of_...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |   47.7ms | I don't think you can work out even simp...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   36.1ms | hello you are funny you pinaput...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   33.0ms | crack in the box...
[PSYCHOLOGY] | YouTube  | [Normal]     | 96%    |   29.8ms | it's both :3...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   36.8ms | Helf is Welf...
[SELF-HELP/] | YouTube  | [Normal]     | 85%    |   29.1ms | remember the bonk...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   58.2ms | 2boys 1 cup:face-green-smiling::face-gre...
[PSYCHOLOGY] | YouTube  | [Normal]     | 96%    |   35.3ms | HAPPY TO BE HERE...
[GAMING/SUR] | YouTube  | [Normal]     | 76%    |   40.3ms | These naked bodies crack me up...
[PSYCHOLOGY] | YouTube  | [Normal]     | 96%    |   35.8ms | RAINBOW ROAD WOOT WOOT...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   38.2ms | 5...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   38.2ms | GRAB H20...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   27.2ms | 10...
[PSYCHOLOGY] | YouTube  | [Normal]     | 92%    |   75.2ms | be careful of the spam  y'all we got our...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   35.0ms | Yes it’s him...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   51.2ms | Manoj puri Kahani Samajh aayi...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   37.2ms | e amuzat Ai cu termenii...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   27.2ms | HAHAHA...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |  116.6ms | :face_with_tears_of_joy::face_with_tears...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   28.8ms | h20 ??...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   36.0ms | LMAO...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   36.7ms | HJune...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   33.6ms | don't swing at people there  lol...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   34.2ms | 1/3 have more spaces...
[PSYCHOLOGY] | YouTube  | [Normal]     | 96%    |   41.7ms | I am food...
[GAMING/SUR] | YouTube  | [Normal]     | 55%    |   27.8ms | Check the dead guys machine...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   29.0ms | lmaaoo...
[SPORTS/FOO] | YouTube  | [Normal]     | 97%    |   28.5ms | this live?...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   25.2ms | hahahaha...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   30.7ms | :fire::fire:...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   40.8ms | we are sooooooooooooooooo back...
[GAMING/SUR] | YouTube  | [Normal]     | 84%    |   33.0ms | gonna lose...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   38.2ms | halinkan hindi :pouting_cat:...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   33.2ms | Omg hahahahahaha...
[PSYCHOLOGY] | YouTube  | [Normal]     | 85%    |   29.1ms | called you out...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   39.7ms | :fire::fire::fire::fire::fire:...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   36.0ms | lol...
[GAMING/SUR] | YouTube  | [Normal]     | 72%    |   29.7ms | GET WREAKED...
