---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-145555_p4_c4_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-145555_p4_c4_r1\bench_WIX_3.csv | node WIX | group grp_20260925-145555_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  611.2ms | I mistyped because I have BIG hands lol...
[SELF-HELP/] | YouTube  | [Normal]     | 97%    |   44.8ms | I'm on a plane...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |   71.4ms | so the best thing is the worst? hmm:cat-...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |   56.2ms | Yo...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   36.6ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |  104.9ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   41.4ms | why are you all so early?...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   76.6ms | shivu apun k papa mujko wada ki h shivu ...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |  240.8ms | :elbowcough::elbowcough::elbowcough::elb...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   46.4ms | domestic flight ye...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   47.2ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [HATE]       | 52%    |  129.8ms | PEANUTS STREAMINGGGGGG:face-fuchsia-tong...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   34.5ms | Happy birthday Peanut!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   70.8ms | :ok_hand::ok_hand::ok_hand::thumbs_up::t...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   70.3ms | :peanuts::peanuts::peanuts::peanuts::pea...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   37.2ms | Great song...
[PSYCHOLOGY] | YouTube  | [Normal]     | 88%    |   44.1ms | Woo...
[MUSIC/CHIL] | YouTube  | [Normal]     | 98%    |   70.9ms | muje tu bhi kabhi kabhi lgta pgl ashiqq ...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   46.9ms | :crown::crown: LONG LIVE THE KING PEANUT...
[GAMING/SUR] | YouTube  | [Normal]     | 56%    |   37.6ms | ILl ALLoW IT...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   41.9ms | Happy birthday Peanut!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   36.0ms | Gingy and Rouge did 20 Hours...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   32.2ms | 19 hours...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   33.1ms | got off an hr before u got on...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   31.6ms | CREAM OF SUM YOUNG GUY...
[NEWS/LIVE ] | YouTube  | [Normal]     | 43%    |   53.5ms | Ok how about the poor dig a hole or make...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   41.1ms | Ayeee :smiling_face_with_sunglasses:...
[MUSIC/CHIL] | YouTube  | [OFFENSIVE]  | 93%    |   60.9ms | Aha....Don't defame my name by taking my...
[MUSIC/CHIL] | YouTube  | [Normal]     | 94%    |   36.2ms | hi...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   38.1ms | he closed it...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 90%    |   37.7ms | fuckin delerious LOL...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   47.0ms | h2o no way...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 35%    |   45.3ms | my OG GOAT GAMER H20!...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   43.0ms | :hot_beverage::musical_notes::ok_hand:...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   29.0ms | he is a fucking legend...
[GAMING/SUR] | YouTube  | [Normal]     | 84%    |   28.7ms | close the gate...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   27.0ms | !peanuts...
[GAMING/SUR] | YouTube  | [Normal]     | 81%    |   38.4ms | h20 my kinggg...
[NEWS/LIVE ] | YouTube  | [Normal]     | 80%    |   40.1ms | Pete doesnt care what God you support in...
