---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260923-235321_p4_c4_r1
-> Loading DistilBERT Model...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260923-235321_p4_c4_r1\bench_WIX_1.csv | node WIX | group grp_20260923-235321_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  610.1ms | just to get rich...
[PSYCHOLOGY] | YouTube  | [Normal]     | 94%    |   60.7ms | Hola...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 68%    |   72.8ms | :collision::collision:LETSSSS RIDEEEEE1:...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   76.4ms | finally playing a top game that has been...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   59.6ms | Ride harder...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   53.1ms | Hey...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   50.3ms | ok this peanut has a lil season to him b...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   33.8ms | NICE BROS !...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   49.1ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   64.2ms | Bro was up until sunrise :face_with_tear...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 73%    |   55.3ms | thank fuck he's on  hutch is boring af...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   43.1ms | THE KING HAS RETURNED...
[GAMING/SUR] | YouTube  | [Normal]     | 66%    |  105.6ms | LETS GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   60.1ms | no  no. how are YOUUUU peanut...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   35.9ms | let's ride...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   57.6ms | whats wrong with your eye...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   60.2ms | We are so fkn back...
[GAMING/SUR] | YouTube  | [Normal]     | 74%    |   53.3ms | He and Gingy and Rogue have been grindin...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   42.0ms | .......
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   59.6ms | About to go lose all y’all’s money at th...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   54.1ms | GINGY DID 20 HOURS...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   60.3ms | Suz :rolling_on_the_floor_laughing::roll...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   62.2ms | Yes rust will do that to you I haven’t p...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   38.9ms | hmmmm.hmmm.hmmmm...
[PSYCHOLOGY] | YouTube  | [Normal]     | 84%    |   50.5ms | jungian punch...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   36.0ms | hi...
[GAMING/SUR] | YouTube  | [Normal]     | 52%    |   54.4ms | GOOP GOOP GOOP...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   97.8ms | Oh my god he's already on :rolling_on_th...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   53.1ms | H20 :red_heart:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   47.6ms | h2o...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   30.7ms | LOL...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   56.2ms | That’s everyone’s childhood...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   50.5ms | Vanoss crew og member...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   49.5ms | tab top right...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   43.3ms | YOUR GATE IS OPEN THERE BUD...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   87.8ms | Golfing in the rain in FL rn :saluting_f...
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |   91.6ms | MAGA...
[NEWS/LIVE ] | YouTube  | [Normal]     | 92%    |   91.5ms | I only help American Citizens :star_stru...
[GAMING/SUR] | YouTube  | [Normal]     | 81%    |   65.2ms | WALL GATE...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   59.6ms | Need to work on research tree...
[MUSIC/CHIL] | YouTube  | [Normal]     | 93%    |   54.1ms | :camel:...
[NEWS/LIVE ] | YouTube  | [Normal]     | 97%    |   48.7ms | DESANTIS 2028...
[MUSIC/CHIL] | YouTube  | [Normal]     | 93%    |   51.6ms | fred me ? :thinking_face:...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   52.3ms | Hutch and gingy got a air strike...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   84.6ms | suz saaanu peru sam :face_with_tears_of_...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |  101.3ms | I don't think you can work out even simp...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   87.8ms | hello you are funny you pinaput...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   74.0ms | crack in the box...
[PSYCHOLOGY] | YouTube  | [Normal]     | 96%    |   76.7ms | it's both :3...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   59.9ms | Helf is Welf...
[SELF-HELP/] | YouTube  | [Normal]     | 85%    |   63.1ms | remember the bonk...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |  129.1ms | 2boys 1 cup:face-green-smiling::face-gre...
[PSYCHOLOGY] | YouTube  | [Normal]     | 96%    |   69.0ms | HAPPY TO BE HERE...
[GAMING/SUR] | YouTube  | [Normal]     | 76%    |   76.9ms | These naked bodies crack me up...
[PSYCHOLOGY] | YouTube  | [Normal]     | 96%    |   79.9ms | RAINBOW ROAD WOOT WOOT...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   50.4ms | 5...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   46.1ms | GRAB H20...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   47.5ms | 10...
[PSYCHOLOGY] | YouTube  | [Normal]     | 92%    |  111.1ms | be careful of the spam  y'all we got our...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   44.3ms | Yes it’s him...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   67.2ms | Manoj puri Kahani Samajh aayi...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   69.4ms | e amuzat Ai cu termenii...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   71.5ms | HAHAHA...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |  182.3ms | :face_with_tears_of_joy::face_with_tears...
