---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260923-224113_p1_c1_r1
-> Loading DistilBERT Model...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260923-224113_p1_c1_r1\bench_WIX_1.csv | node WIX | group grp_20260923-224113_p1_c1_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |  692.4ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   35.5ms | whats wrong with your eye...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   40.0ms | H20 and Kyle have been getting fed all d...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   44.9ms | peanut how late did you stay up last nig...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   40.7ms | Vani kaise :thinking_face:...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   37.5ms | nah just gamble it all away...
[ENTERTAINM] | YouTube  | [Normal]     | 95%    |   36.2ms | yooo...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   33.7ms | Hello everybody...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   46.4ms | @Sharktooth17 brother this is the origin...
[GAMING/GAM] | YouTube  | [Normal]     | 96%    |   38.7ms | 3 TIME CHAMPION!!!...
[GAMING/GAM] | YouTube  | [Normal]     | 97%    |   33.0ms | love the movie  was amazing...
[GAMING/GAM] | YouTube  | [Normal]     | 98%    |   70.3ms | MARK I SAW IRON LUNG LAST WEEKEND!!!! IT...
[ENTERTAINM] | YouTube  | [Normal]     | 87%    |   34.1ms | no...
[ENTERTAINM] | YouTube  | [Normal]     | 96%    |   32.8ms | love you...
[GAMING/GAM] | YouTube  | [Normal]     | 97%    |   50.1ms | wow movie star and celebrity director Ma...
[ENTERTAINM] | YouTube  | [Normal]     | 96%    |   30.4ms | New member...
[GAMING/GAM] | YouTube  | [Normal]     | 95%    |   31.3ms | Airplane...
[ENTERTAINM] | YouTube  | [Normal]     | 94%    |   26.7ms | hi...
[GAMING/GAM] | YouTube  | [Normal]     | 97%    |   40.0ms | Hai Marikipliaer!!!!...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   32.2ms | tragi in stinga...
[GAMING/GAM] | YouTube  | [OFFENSIVE]  | 65%    |   37.7ms | oooh I don't like the creepy stairs...
[GAMING/GAM] | YouTube  | [Normal]     | 96%    |   29.5ms | Water cheese...
[GAMING/GAM] | YouTube  | [Normal]     | 95%    |   30.0ms | obversation...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   34.4ms | YOU HAD 1000 SCRAP WHEN YOU LOGGED IN...
[GAMING/GAM] | YouTube  | [Normal]     | 96%    |   33.6ms | I can't wait to see the singing siren...
[GAMING/GAM] | YouTube  | [Normal]     | 96%    |   31.0ms | is it the capital o?...
[ENTERTAINM] | YouTube  | [Normal]     | 98%    |   40.6ms | sir please visit chhattisgarh india for ...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   25.1ms | 5...
[ENTERTAINM] | YouTube  | [Normal]     | 95%    |   27.4ms | 10$help...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   26.6ms | bet green...
[GAMING/SUR] | YouTube  | [Normal]     | 84%    |   34.5ms | Who else is drinking some silly with me?...
[ENTERTAINM] | YouTube  | [Normal]     | 94%    |   28.6ms | heloooo...
[GAMING/GAM] | YouTube  | [Normal]     | 96%    |   29.9ms | The jacket was always there...
[SELF-HELP/] | YouTube  | [Normal]     | 52%    |   51.0ms | Should I tell my freind that he can’t do...
[ENTERTAINM] | YouTube  | [Normal]     | 95%    |   26.0ms | xd...
[ENTERTAINM] | YouTube  | [Normal]     | 94%    |   47.4ms | 1111111111111111111111111111111111111111...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |   25.6ms | Higher but...
[ENTERTAINM] | YouTube  | [Normal]     | 98%    |  105.8ms | :face-turquoise-covering-eyes::face-turq...
[ENTERTAINM] | YouTube  | [Normal]     | 97%    |   55.2ms | Taiwan W:face-red-heart-shape::face-red-...
[GAMING/GAM] | YouTube  | [Normal]     | 90%    |   28.8ms | You nearly did it...
[GAMING/GAM] | YouTube  | [Normal]     | 91%    |   26.3ms | Noob...
[GAMING/GAM] | YouTube  | [Normal]     | 81%    |   27.7ms | crazy work...
[ENTERTAINM] | YouTube  | [Normal]     | 94%    |   28.1ms | SO OLD BUT GOLD...
[GAMING/GAM] | YouTube  | [Normal]     | 94%    |   30.5ms | yay!...
