---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-123505_p1_c1_cuda_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cuda...
-> GPU: NVIDIA GeForce GTX 1650 with Max-Q Design
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-123505_p1_c1_cuda_r1\bench_WIX_1.csv | node WIX | group grp_20260925-123505_p1_c1_cuda_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |  642.1ms | Let’s rideee...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |    9.1ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   11.3ms | Ride harder...
[GAMING/SUR] | YouTube  | [Normal]     | 61%    |   29.1ms | lets goooooooooo chat!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   14.0ms | EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEE...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   12.0ms | new intro...
[NEWS/LIVE ] | YouTube  | [Normal]     | 90%    |   12.1ms | more like codes...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   18.3ms | THE KING HAS RETURNED...
[PSYCHOLOGY] | YouTube  | [Normal]     | 88%    |   13.5ms | Woo...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   15.5ms | whats wrong with your eye...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   14.1ms | :_PeanutJork::_PeanutJork::_PeanutJork:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |    9.5ms | Yes rust will do that to you I haven’t p...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |    8.0ms | hmmmm.hmmm.hmmmm...
[MUSIC/CHIL] | YouTube  | [Normal]     | 94%    |    7.7ms | hi...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |    7.5ms | Shut the door!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    7.5ms | WE WANT WELYN...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |    7.1ms | H20 and Kyle have been getting fed all d...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |    7.9ms | tab top right...
