---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260923-224245_p1_c1_r1
-> Loading DistilBERT Model...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260923-224245_p1_c1_r1\bench_WIX_1.csv | node WIX | group grp_20260923-224245_p1_c1_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  101.2ms | just to get rich...
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |   37.9ms | I mistyped because I have BIG hands lol...
[PSYCHOLOGY] | YouTube  | [Normal]     | 94%    |   28.8ms | Hola...
[SELF-HELP/] | YouTube  | [Normal]     | 97%    |   34.2ms | I'm on a plane...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   25.1ms | FIRST...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 54%    |   29.7ms | Hellyeah...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   31.0ms | Let’s rideee...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |   40.0ms | so the best thing is the worst? hmm:cat-...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |   25.0ms | Yo...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   31.2ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   42.9ms | Bangaaaaaaa Bungus Bussss :bus:...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 68%    |   42.9ms | :collision::collision:LETSSSS RIDEEEEE1:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   26.1ms | sing please...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   71.6ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   45.0ms | why are you all so early?...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   56.3ms | The grind is real...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   37.2ms | Peanut Plays RUST. LETS GO!...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   51.8ms | finally playing a top game that has been...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   30.0ms | Ride harder...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   67.0ms | shivu apun k papa mujko wada ki h shivu ...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   52.7ms | Annayyaa nen miss ayina nin ekkuvaa:loud...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   30.9ms | Hey...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |  141.1ms | :elbowcough::elbowcough::elbowcough::elb...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   52.9ms | ok this peanut has a lil season to him b...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   43.8ms | eeeeeeeeeeeeeeeeeeeeeeeeeeeee...
[GAMING/SUR] | YouTube  | [Normal]     | 61%    |   37.2ms | lets goooooooooo chat!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   31.8ms | NICE BROS !...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   40.2ms | Happy birthday peanut...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   36.4ms | domestic flight ye...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   58.8ms | EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEE...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   27.3ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [HATE]       | 52%    |  105.9ms | PEANUTS STREAMINGGGGGG:face-fuchsia-tong...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   31.3ms | Happy birthday Peanut!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   58.6ms | :ok_hand::ok_hand::ok_hand::thumbs_up::t...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   27.0ms | new intro...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   48.4ms | :peanuts::peanuts::peanuts::peanuts::pea...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   28.3ms | JOHNNY...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   27.0ms | EEEEE...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   42.4ms | Bro was up until sunrise :face_with_tear...
