---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-133838_p4_c4_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-133838_p4_c4_r1\bench_WIX_3.csv | node WIX | group grp_20260925-133838_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  658.4ms | just to get rich...
[PSYCHOLOGY] | YouTube  | [Normal]     | 94%    |   43.5ms | Hola...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 68%    |   92.8ms | :collision::collision:LETSSSS RIDEEEEE1:...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   80.0ms | finally playing a top game that has been...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   71.5ms | Ride harder...
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   57.0ms | Hey...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   50.5ms | ok this peanut has a lil season to him b...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   30.1ms | NICE BROS !...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   50.8ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   71.9ms | Bro was up until sunrise :face_with_tear...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 73%    |   70.6ms | thank fuck he's on  hutch is boring af...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   84.8ms | THE KING HAS RETURNED...
[GAMING/SUR] | YouTube  | [Normal]     | 66%    |  110.9ms | LETS GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   68.5ms | no  no. how are YOUUUU peanut...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   61.5ms | let's ride...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   52.5ms | whats wrong with your eye...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   50.5ms | We are so fkn back...
[GAMING/SUR] | YouTube  | [Normal]     | 74%    |   56.0ms | He and Gingy and Rogue have been grindin...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   55.9ms | .......
[GAMING/SUR] | YouTube  | [Normal]     | 91%    |   60.1ms | About to go lose all y’all’s money at th...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   66.5ms | GINGY DID 20 HOURS...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |  107.0ms | Suz :rolling_on_the_floor_laughing::roll...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   67.5ms | Yes rust will do that to you I haven’t p...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   43.7ms | hmmmm.hmmm.hmmmm...
[PSYCHOLOGY] | YouTube  | [Normal]     | 84%    |   33.7ms | jungian punch...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   52.7ms | hi...
[GAMING/SUR] | YouTube  | [Normal]     | 52%    |   52.5ms | GOOP GOOP GOOP...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |  104.0ms | Oh my god he's already on :rolling_on_th...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   70.4ms | H20 :red_heart:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   28.6ms | h2o...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   62.8ms | LOL...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   72.5ms | That’s everyone’s childhood...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   80.6ms | Vanoss crew og member...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   64.6ms | tab top right...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   78.8ms | YOUR GATE IS OPEN THERE BUD...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   77.6ms | Golfing in the rain in FL rn :saluting_f...
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |   55.5ms | MAGA...
[NEWS/LIVE ] | YouTube  | [Normal]     | 92%    |   56.0ms | I only help American Citizens :star_stru...
[GAMING/SUR] | YouTube  | [Normal]     | 81%    |   38.0ms | WALL GATE...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   54.0ms | Need to work on research tree...
[MUSIC/CHIL] | YouTube  | [Normal]     | 93%    |   42.9ms | :camel:...
