---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-133838_p4_c4_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-133838_p4_c4_r1\bench_WIX_1.csv | node WIX | group grp_20260925-133838_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 54%    |  627.0ms | Hellyeah...
[GAMING/SUR] | YouTube  | [Normal]     | 92%    |   57.5ms | Let’s rideee...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   84.9ms | Bangaaaaaaa Bungus Bussss :bus:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   72.0ms | sing please...
[GAMING/SUR] | YouTube  | [Normal]     | 73%    |   76.5ms | The grind is real...
[MUSIC/CHIL] | YouTube  | [Normal]     | 96%    |   94.6ms | Annayyaa nen miss ayina nin ekkuvaa:loud...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   49.5ms | new intro...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   43.3ms | JOHNNY...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   35.2ms | EEEEE...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 57%    |   62.7ms | SHESSSSHHHH LETS GOOO EARLY AS HELL...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   71.5ms | good to see ya P...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |   86.9ms | bungus...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   87.2ms | hahaha...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   84.5ms | :_PeanutJork::_PeanutJork::_PeanutJork:...
[GAMING/SUR] | YouTube  | [Normal]     | 95%    |   99.3ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   67.2ms | tu sach mei sanki to nhi ho gyaa:face_wi...
[MUSIC/CHIL] | YouTube  | [Normal]     | 95%    |   52.6ms | late sam...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   58.7ms | HUTCH HAS MADE OFF WITH 1000 SCRAP...
[PSYCHOLOGY] | YouTube  | [Normal]     | 97%    |   51.1ms | wait did stream rest a little?...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   65.0ms | G ey area lo park chesav ?:baseball-whit...
[GAMING/SUR] | YouTube  | [Normal]     | 89%    |   60.2ms | h2o coool...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   59.3ms | H20 and Kyle have been getting fed all d...
[GAMING/SUR] | YouTube  | [Normal]     | 88%    |   63.0ms | rogue tries too hard...
