---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-133838_p4_c4_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-133838_p4_c4_r1\bench_WIX_4.csv | node WIX | group grp_20260925-133838_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |  627.0ms | FIRST...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   49.7ms | Peanut Plays RUST. LETS GO!...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   85.2ms | eeeeeeeeeeeeeeeeeeeeeeeeeeeee...
[GAMING/SUR] | YouTube  | [Normal]     | 61%    |   86.7ms | lets goooooooooo chat!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   97.6ms | EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEE...
[NEWS/LIVE ] | YouTube  | [Normal]     | 90%    |   70.9ms | more like codes...
[MUSIC/CHIL] | YouTube  | [Normal]     | 90%    |   77.6ms | Suz tell your halikan to stop overfeedin...
[GAMING/SUR] | YouTube  | [Normal]     | 58%    |   64.3ms | did you ask hutch bout his ass tattoo...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   93.3ms | :face-blue-wide-eyes::face-blue-wide-eye...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   71.4ms | Diarrhea live on the stream...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |  115.8ms | hi:_PeanutFire::_PeanutFire:an chat does...
[GAMING/SUR] | YouTube  | [Normal]     | 87%    |   85.3ms | Gingys built different...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 82%    |   55.5ms | Hol up...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   60.8ms | Rouge put in massive work...
[GAMING/SUR] | YouTube  | [OFFENSIVE]  | 79%    |   75.5ms | :_LetsGo::_LetsGo::_LetsGo::_LetsGo::_Le...
[MUSIC/CHIL] | YouTube  | [Normal]     | 98%    |   62.0ms | Manoj haan:smiling_face_with_tear:...
[GAMING/SUR] | YouTube  | [Normal]     | 82%    |   36.5ms | Shut the door!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   45.6ms | WE WANT WELYN...
