---- STARTING OMNI-PROCESSOR ----
-> Connected to Elasticsearch at http://localhost:9200 | Index: perf_20260925-133838_p4_c4_r1
-> Loading model from F:\hate-speech-pipeline\src\../models\bert_final on cpu...
-> BERT Model Loaded successfully.
-> Benchmark log: F:\hate-speech-pipeline\reports\scaling\20260925-133838_p4_c4_r1\bench_WIX_2.csv | node WIX | group grp_20260925-133838_p4_c4_r1
------------------------------------------------------------------------------------------------------------------------
DOMAIN       | SOURCE   | PREDICTION   | CONF.  | LATENCY  | TEXT
------------------------------------------------------------------------------------------------------------------------
[NEWS/LIVE ] | YouTube  | [Normal]     | 95%    |  653.6ms | I mistyped because I have BIG hands lol...
[SELF-HELP/] | YouTube  | [Normal]     | 97%    |   43.5ms | I'm on a plane...
[NEWS/LIVE ] | YouTube  | [Normal]     | 94%    |   86.2ms | so the best thing is the worst? hmm:cat-...
[GAMING/SUR] | YouTube  | [Normal]     | 86%    |   73.7ms | Yo...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |   63.9ms | LETS GO!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |  114.8ms | :thumbs_up::thumbs_up::thumbs_up::thumbs...
[GAMING/SUR] | YouTube  | [Normal]     | 90%    |   61.5ms | why are you all so early?...
[MUSIC/CHIL] | YouTube  | [Normal]     | 97%    |   90.4ms | shivu apun k papa mujko wada ki h shivu ...
[GAMING/SUR] | YouTube  | [Normal]     | 93%    |  185.9ms | :elbowcough::elbowcough::elbowcough::elb...
[SELF-HELP/] | YouTube  | [Normal]     | 94%    |   64.9ms | domestic flight ye...
[GAMING/SUR] | YouTube  | [Normal]     | 96%    |   45.1ms | Happy birthday peanut...
[GAMING/SUR] | YouTube  | [HATE]       | 52%    |  160.8ms | PEANUTS STREAMINGGGGGG:face-fuchsia-tong...
[GAMING/SUR] | YouTube  | [Normal]     | 97%    |   68.8ms | Happy birthday Peanut!!!!...
[GAMING/SUR] | YouTube  | [Normal]     | 94%    |   77.0ms | :ok_hand::ok_hand::ok_hand::thumbs_up::t...
[GAMING/SUR] | YouTube  | [Normal]     | 98%    |   84.5ms | :peanuts::peanuts::peanuts::peanuts::pea...
